timestamp,HR
20120925T131600000,
20120925T131700000,
20120925T131800000,
20120925T131900000,
20120925T132000000,
20120925T132100000,
20120925T132400000,
20120925T132500000,
20120925T132600000,73
20120925T132700000,
20120925T132800000,
20120925T132900000,
20120925T133000000,58
20120925T133100000,
20120925T133200000,61
20120925T133300000,
20120925T133400000,58
20120925T133500000,
20120925T133600000,60
20120925T133700000,
20120925T133800000,61
20120925T133900000,
20120925T134000000,
20120925T134100000,
20120925T134200000,
20120925T134300000,
20120925T134400000,
20120925T134500000,
20120925T134600000,60
20120925T134700000,59
20120925T134800000,
20120925T134900000,
20120925T135000000,
20120925T135100000,
20120925T135200000,
20120925T135300000,
20120925T135400000,61
20120925T135500000,
20120925T135600000,
20120925T135700000,
20120925T135800000,60
20120925T135900000,
20120925T140000000,
20120925T140100000,
20120925T140200000,63
20120925T140300000,
20120925T140400000,
20120925T141800000,
20120925T141900000,
20120925T142000000,
20120925T142100000,
20120925T142200000,
20120925T142300000,
20120925T142600000,
20120925T142700000,
20120925T142800000,
20120925T142900000,
20120925T143000000,
20120925T143100000,
20120925T143200000,
20120925T143300000,
20120925T143400000,
20120925T143500000,
20120925T143600000,
20120925T143700000,
20120925T143800000,
20120925T143900000,
20120925T144000000,
20120925T144100000,
20120925T144200000,
20120925T144300000,
20120925T144400000,
20120925T144500000,
20120925T144600000,
20120925T144700000,
20120925T144800000,
20120925T144900000,
20120925T145000000,
20120925T145100000,
20120925T145200000,
20120925T145300000,
20120925T145400000,
20120925T145500000,
20120925T145600000,
20120925T145700000,
20120925T145800000,
20120925T145900000,
20120925T150000000,
20120925T150100000,
20120925T150200000,
20120925T150300000,
20120925T150400000,
20120925T150500000,
20120925T150600000,
20120925T150700000,
20120925T152300000,
20120925T152400000,
20120925T152500000,
20120925T152600000,
20120925T152700000,
20120925T152800000,
20120925T153300000,
20120925T153400000,
20120925T153500000,
20120925T153600000,61
20120925T153700000,59
20120925T153800000,
20120925T153900000,
20120925T154000000,
20120925T154100000,
20120925T154200000,
20120925T154300000,
20120925T154400000,
20120925T154500000,
20120925T154600000,
20120925T154700000,
20120925T154800000,
20120925T154900000,
20120925T155000000,
20120925T155100000,
20120925T155200000,
20120925T155300000,
20120925T155400000,
20120925T155500000,58
20120925T155600000,61
20120925T155700000,
20120925T155800000,
20120925T155900000,
